Frame Number	Computation Time
2023	86800
2024	96900
2025	90600
2026	105000
2027	97600
2028	96900
2029	86300
2030	82100
2031	81400
2032	81700
2033	92700
2034	82600
2035	187000
2036	86500
2037	104900
2038	85700
2039	89800
2040	88600
2041	92800
2042	93300
2043	88700
2044	353500
2045	96200
2046	83700
2047	90200
2048	273100
2049	304700
2050	260100
2051	98100
2052	106200
2053	88700
2054	297000
2055	93900
2056	120400
2057	242400
2058	1655500
2059	122400
2060	206700
2061	96100
2062	129400
2063	129900
2064	96800
2065	98000
2066	107700
2067	96200
2068	110600
2069	198600
2070	140500
2071	97700
2072	99300
2073	124400
2074	94600
2075	101300
2076	97700
2077	106400
2078	98800
2079	132100
2080	568500
2081	1767300
2082	193600
2083	299700
2084	170800
2085	90600
2086	82100
2087	91000
2088	161900
2089	97600
2090	90100
2091	107100
2092	85800
2093	94400
2094	82600
2095	112400
2096	88200
2097	82100
2098	252900
2099	91800
2100	89500
2101	84500
2102	201300
2103	83900
2104	81900
2105	89700
2106	93000
2107	83800
2108	96300
2109	89000
2110	90700
2111	87500
2112	255700
2113	974300
2114	119300
2115	108500
2116	99400
2117	178600
2118	116300
2119	105500
2120	105100
2121	131500
2122	98600
2123	247100
2124	2319600
2125	100000
2126	651200
2127	176200
2128	122700
2129	92200
2130	176900
2131	110900
2132	97700
2133	302500
2134	1216500
2135	107900
2136	232600
2137	98300
2138	230300
2139	101600
2140	103700
2141	99600
2142	114600
2143	98400
2144	111400
2145	145200
2146	284600
2147	4032300
2148	159700
2149	102100
2150	105000
2151	105100
2152	252300
2153	96700
2154	85600
2155	173900
2156	93600
2157	88100
2158	97700
2159	158600
2160	93000
2161	95200
2162	118500
2163	99800
2164	92700
2165	115800
2166	117800
2167	117000
2168	96400
2169	95100
2170	99900
2171	89100
2172	98900
2173	134700
2174	97100
2175	89400
2176	120700
2177	251800
2178	94700
2179	95700
2180	90100
2181	99800
2182	119100
2183	291900
2184	7675800
2185	103600
2186	117600
2187	100000
2188	106600
2189	99000
2190	142600
2191	291200
2192	100600
2193	95300
2194	257100
2195	104400
2196	95400
2197	106800
2198	203500
2199	270400
2200	14216000
2201	292700
2202	72400
2203	196900
2204	71800
2205	68700
2206	91600
2207	73200
2208	70800
2209	80900
2210	291000
2211	73100
2212	86800
2213	68900
